"filename", "language", "Markdown", "HTML", "JSON", "JavaScript", "CSS", "JavaScript React", "SCSS", "XML", "comment", "blank", "total"
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_buzz-out.scss", "SCSS", 0, 0, 0, 0, 0, 0, 43, 0, 1, 12, 56
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_buzz.scss", "SCSS", 0, 0, 0, 0, 0, 0, 19, 0, 1, 4, 24
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_float.scss", "SCSS", 0, 0, 0, 0, 0, 0, 11, 0, 1, 2, 14
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_forward.scss", "SCSS", 0, 0, 0, 0, 0, 0, 10, 0, 1, 2, 13
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_grow-rotate.scss", "SCSS", 0, 0, 0, 0, 0, 0, 10, 0, 1, 2, 13
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_grow.scss", "SCSS", 0, 0, 0, 0, 0, 0, 10, 0, 1, 2, 13
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_hang.scss", "SCSS", 0, 0, 0, 0, 0, 0, 30, 0, 1, 4, 35
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_pop.scss", "SCSS", 0, 0, 0, 0, 0, 0, 16, 0, 1, 3, 20
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_pulse-grow.scss", "SCSS", 0, 0, 0, 0, 0, 0, 17, 0, 1, 3, 21
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_pulse-shrink.scss", "SCSS", 0, 0, 0, 0, 0, 0, 17, 0, 1, 3, 21
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_pulse.scss", "SCSS", 0, 0, 0, 0, 0, 0, 19, 0, 1, 4, 24
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_push.scss", "SCSS", 0, 0, 0, 0, 0, 0, 19, 0, 1, 4, 24
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_rotate.scss", "SCSS", 0, 0, 0, 0, 0, 0, 10, 0, 1, 2, 13
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_shrink.scss", "SCSS", 0, 0, 0, 0, 0, 0, 10, 0, 1, 2, 13
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_sink.scss", "SCSS", 0, 0, 0, 0, 0, 0, 11, 0, 1, 2, 14
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_skew-backward.scss", "SCSS", 0, 0, 0, 0, 0, 0, 11, 0, 1, 2, 14
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_skew-forward.scss", "SCSS", 0, 0, 0, 0, 0, 0, 11, 0, 1, 2, 14
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_skew.scss", "SCSS", 0, 0, 0, 0, 0, 0, 10, 0, 1, 2, 13
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_wobble-bottom.scss", "SCSS", 0, 0, 0, 0, 0, 0, 32, 0, 1, 8, 41
